,customer_no,timestamp,location
0,10001,2019-09-02 07:02:00,entrance
1,10001,2019-09-02 07:03:00,dairy
2,10001,2019-09-02 07:04:00,dairy
3,10001,2019-09-02 07:05:00,checkout
4,10002,2019-09-02 07:02:00,entrance
5,10002,2019-09-02 07:03:00,dairy
6,10002,2019-09-02 07:04:00,dairy
7,10002,2019-09-02 07:05:00,dairy
8,10002,2019-09-02 07:06:00,checkout
9,10003,2019-09-02 07:03:00,entrance
10,10003,2019-09-02 07:04:00,dairy
11,10003,2019-09-02 07:05:00,dairy
12,10003,2019-09-02 07:06:00,checkout
13,10004,2019-09-02 07:03:00,entrance
14,10004,2019-09-02 07:04:00,dairy
15,10004,2019-09-02 07:05:00,dairy
16,10004,2019-09-02 07:06:00,dairy
17,10004,2019-09-02 07:07:00,dairy
18,10004,2019-09-02 07:08:00,checkout
19,10005,2019-09-02 07:03:00,entrance
20,10005,2019-09-02 07:04:00,spices
21,10005,2019-09-02 07:05:00,checkout
22,10006,2019-09-02 07:03:00,entrance
23,10006,2019-09-02 07:04:00,spices
24,10006,2019-09-02 07:05:00,dairy
25,10006,2019-09-02 07:06:00,dairy
26,10006,2019-09-02 07:07:00,dairy
27,10006,2019-09-02 07:08:00,dairy
28,10006,2019-09-02 07:09:00,dairy
29,10006,2019-09-02 07:10:00,dairy
30,10006,2019-09-02 07:11:00,dairy
31,10006,2019-09-02 07:12:00,dairy
32,10006,2019-09-02 07:13:00,dairy
33,10006,2019-09-02 07:14:00,dairy
34,10006,2019-09-02 07:15:00,dairy
35,10006,2019-09-02 07:16:00,dairy
36,10006,2019-09-02 07:17:00,spices
37,10006,2019-09-02 07:18:00,drinks
38,10006,2019-09-02 07:19:00,drinks
39,10006,2019-09-02 07:20:00,drinks
40,10006,2019-09-02 07:21:00,drinks
41,10006,2019-09-02 07:22:00,drinks
42,10006,2019-09-02 07:23:00,drinks
43,10006,2019-09-02 07:24:00,drinks
44,10006,2019-09-02 07:25:00,spices
45,10006,2019-09-02 07:26:00,dairy
46,10006,2019-09-02 07:27:00,spices
47,10006,2019-09-02 07:28:00,spices
48,10006,2019-09-02 07:29:00,checkout
49,10007,2019-09-02 07:03:00,entrance
50,10007,2019-09-02 07:04:00,spices
51,10007,2019-09-02 07:05:00,drinks
52,10007,2019-09-02 07:06:00,drinks
53,10007,2019-09-02 07:07:00,drinks
54,10007,2019-09-02 07:08:00,drinks
55,10007,2019-09-02 07:09:00,spices
56,10007,2019-09-02 07:10:00,spices
57,10007,2019-09-02 07:11:00,fruit
58,10007,2019-09-02 07:12:00,fruit
59,10007,2019-09-02 07:13:00,checkout
60,10008,2019-09-02 07:03:00,entrance
61,10008,2019-09-02 07:04:00,fruit
62,10008,2019-09-02 07:05:00,fruit
63,10008,2019-09-02 07:06:00,fruit
64,10008,2019-09-02 07:07:00,checkout
65,10009,2019-09-02 07:05:00,entrance
66,10009,2019-09-02 07:06:00,dairy
67,10009,2019-09-02 07:07:00,dairy
68,10009,2019-09-02 07:08:00,dairy
69,10009,2019-09-02 07:09:00,dairy
70,10009,2019-09-02 07:10:00,dairy
71,10009,2019-09-02 07:11:00,dairy
72,10009,2019-09-02 07:12:00,fruit
73,10009,2019-09-02 07:13:00,checkout
74,10010,2019-09-02 07:05:00,entrance
75,10010,2019-09-02 07:06:00,fruit
76,10010,2019-09-02 07:07:00,fruit
77,10010,2019-09-02 07:08:00,checkout
78,10011,2019-09-02 07:05:00,entrance
79,10011,2019-09-02 07:06:00,drinks
80,10011,2019-09-02 07:07:00,drinks
81,10011,2019-09-02 07:08:00,checkout
82,10012,2019-09-02 07:05:00,entrance
83,10012,2019-09-02 07:06:00,spices
84,10012,2019-09-02 07:07:00,drinks
85,10012,2019-09-02 07:08:00,drinks
86,10012,2019-09-02 07:09:00,drinks
87,10012,2019-09-02 07:10:00,checkout
88,10013,2019-09-02 07:05:00,entrance
89,10013,2019-09-02 07:06:00,dairy
90,10013,2019-09-02 07:07:00,dairy
91,10013,2019-09-02 07:08:00,dairy
92,10013,2019-09-02 07:09:00,dairy
93,10013,2019-09-02 07:10:00,dairy
94,10013,2019-09-02 07:11:00,dairy
95,10013,2019-09-02 07:12:00,dairy
96,10013,2019-09-02 07:13:00,spices
97,10013,2019-09-02 07:14:00,dairy
98,10013,2019-09-02 07:15:00,fruit
99,10013,2019-09-02 07:16:00,checkout
100,10014,2019-09-02 07:05:00,entrance
101,10014,2019-09-02 07:06:00,fruit
102,10014,2019-09-02 07:07:00,fruit
103,10014,2019-09-02 07:08:00,fruit
104,10014,2019-09-02 07:09:00,checkout
105,10015,2019-09-02 07:06:00,entrance
106,10015,2019-09-02 07:07:00,spices
107,10015,2019-09-02 07:08:00,fruit
108,10015,2019-09-02 07:09:00,fruit
109,10015,2019-09-02 07:10:00,fruit
110,10015,2019-09-02 07:11:00,fruit
111,10015,2019-09-02 07:12:00,checkout
112,10016,2019-09-02 07:06:00,entrance
113,10016,2019-09-02 07:07:00,dairy
114,10016,2019-09-02 07:08:00,dairy
115,10016,2019-09-02 07:09:00,spices
116,10016,2019-09-02 07:10:00,spices
117,10016,2019-09-02 07:11:00,checkout
118,10017,2019-09-02 07:10:00,entrance
119,10017,2019-09-02 07:11:00,fruit
120,10017,2019-09-02 07:12:00,fruit
121,10017,2019-09-02 07:13:00,fruit
122,10017,2019-09-02 07:14:00,fruit
123,10017,2019-09-02 07:15:00,fruit
124,10017,2019-09-02 07:16:00,fruit
125,10017,2019-09-02 07:17:00,fruit
126,10017,2019-09-02 07:18:00,fruit
127,10017,2019-09-02 07:19:00,fruit
128,10017,2019-09-02 07:20:00,fruit
129,10017,2019-09-02 07:21:00,fruit
130,10017,2019-09-02 07:22:00,checkout
131,10018,2019-09-02 07:11:00,entrance
132,10018,2019-09-02 07:12:00,fruit
133,10018,2019-09-02 07:13:00,fruit
134,10018,2019-09-02 07:14:00,dairy
135,10018,2019-09-02 07:15:00,dairy
136,10018,2019-09-02 07:16:00,dairy
137,10018,2019-09-02 07:17:00,checkout
138,10019,2019-09-02 07:11:00,entrance
139,10019,2019-09-02 07:12:00,spices
140,10019,2019-09-02 07:13:00,drinks
141,10019,2019-09-02 07:14:00,drinks
142,10019,2019-09-02 07:15:00,drinks
143,10019,2019-09-02 07:16:00,drinks
144,10019,2019-09-02 07:17:00,drinks
145,10019,2019-09-02 07:18:00,drinks
146,10019,2019-09-02 07:19:00,drinks
147,10019,2019-09-02 07:20:00,checkout
148,10020,2019-09-02 07:11:00,entrance
149,10020,2019-09-02 07:12:00,drinks
150,10020,2019-09-02 07:13:00,drinks
151,10020,2019-09-02 07:14:00,checkout
152,10021,2019-09-02 07:12:00,entrance
153,10021,2019-09-02 07:13:00,drinks
154,10021,2019-09-02 07:14:00,drinks
155,10021,2019-09-02 07:15:00,spices
156,10021,2019-09-02 07:16:00,checkout
157,10022,2019-09-02 07:12:00,entrance
158,10022,2019-09-02 07:13:00,fruit
159,10022,2019-09-02 07:14:00,fruit
160,10022,2019-09-02 07:15:00,dairy
161,10022,2019-09-02 07:16:00,dairy
162,10022,2019-09-02 07:17:00,checkout
163,10023,2019-09-02 07:13:00,entrance
164,10023,2019-09-02 07:14:00,fruit
165,10023,2019-09-02 07:15:00,checkout
166,10024,2019-09-02 07:13:00,entrance
167,10024,2019-09-02 07:14:00,drinks
168,10024,2019-09-02 07:15:00,drinks
169,10024,2019-09-02 07:16:00,drinks
170,10024,2019-09-02 07:17:00,drinks
171,10024,2019-09-02 07:18:00,drinks
172,10024,2019-09-02 07:19:00,drinks
173,10024,2019-09-02 07:20:00,checkout
174,10025,2019-09-02 07:15:00,entrance
175,10025,2019-09-02 07:16:00,spices
176,10025,2019-09-02 07:17:00,dairy
177,10025,2019-09-02 07:18:00,spices
178,10025,2019-09-02 07:19:00,drinks
179,10025,2019-09-02 07:20:00,drinks
180,10025,2019-09-02 07:21:00,drinks
181,10025,2019-09-02 07:22:00,checkout
182,10026,2019-09-02 07:15:00,entrance
183,10026,2019-09-02 07:16:00,fruit
184,10026,2019-09-02 07:17:00,fruit
185,10026,2019-09-02 07:18:00,fruit
186,10026,2019-09-02 07:19:00,fruit
187,10026,2019-09-02 07:20:00,dairy
188,10026,2019-09-02 07:21:00,dairy
189,10026,2019-09-02 07:22:00,dairy
190,10026,2019-09-02 07:23:00,dairy
191,10026,2019-09-02 07:24:00,checkout
192,10027,2019-09-02 07:15:00,entrance
193,10027,2019-09-02 07:16:00,spices
194,10027,2019-09-02 07:17:00,spices
195,10027,2019-09-02 07:18:00,spices
196,10027,2019-09-02 07:19:00,dairy
197,10027,2019-09-02 07:20:00,dairy
198,10027,2019-09-02 07:21:00,dairy
199,10027,2019-09-02 07:22:00,dairy
200,10027,2019-09-02 07:23:00,dairy
201,10027,2019-09-02 07:24:00,dairy
202,10027,2019-09-02 07:25:00,dairy
203,10027,2019-09-02 07:26:00,dairy
204,10027,2019-09-02 07:27:00,dairy
205,10027,2019-09-02 07:28:00,dairy
206,10027,2019-09-02 07:29:00,dairy
207,10027,2019-09-02 07:30:00,dairy
208,10027,2019-09-02 07:31:00,dairy
209,10027,2019-09-02 07:32:00,dairy
210,10027,2019-09-02 07:33:00,checkout
211,10028,2019-09-02 07:15:00,entrance
212,10028,2019-09-02 07:16:00,drinks
213,10028,2019-09-02 07:17:00,drinks
